gene_symbol,gene_name,category,priority,justification,guide_site_support_pattern
Tfeb,Transcription factor EB,autophagy_lysosome,critical,"Master regulator of autophagy-lysosomal biogenesis (Sardiello 2009, Settembre 2011)",no_surveyed_context
Tfe3,Transcription factor E3,autophagy_lysosome,high,Paralog of TFEB; activates overlapping CLEAR network genes (Settembre 2011),all_six_contexts
Lamp1,Lysosomal-associated membrane protein 1,autophagy_lysosome,medium,Lysosomal membrane glycoprotein; functional marker of lysosomal biogenesis,multi_study_support
Lamp2,Lysosomal-associated membrane protein 2,autophagy_lysosome,medium,Lysosomal membrane protein; chaperone-mediated autophagy receptor,all_six_contexts
Ctsd,Cathepsin D,autophagy_lysosome,medium,Cathepsin D; major lysosomal aspartyl protease,multi_study_support
Ctsb,Cathepsin B,autophagy_lysosome,medium,Cathepsin B; lysosomal cysteine protease involved in debris clearance,all_six_contexts
Mcoln1,Mucolipin 1,autophagy_lysosome,high,TRPML1 lysosomal Ca2+ channel; upstream activator of TFEB,all_six_contexts
Atp6v1h,V-type proton ATPase subunit H,autophagy_lysosome,medium,Vacuolar ATPase subunit H; lysosomal acidification,all_six_contexts
Sqstm1,Sequestosome 1,autophagy_lysosome,medium,p62/Sequestosome-1; selective autophagy receptor,multi_study_support
Becn1,Beclin 1,autophagy_lysosome,medium,Beclin-1; class III PI3K complex for autophagy initiation,all_six_contexts
Map1lc3b,MAP1 light chain 3 beta,autophagy_lysosome,medium,LC3B; autophagosome membrane marker,multi_study_support
Atg5,Autophagy related 5,autophagy_lysosome,medium,Autophagy protein 5; conjugation system for autophagosome elongation,all_six_contexts
Atg7,Autophagy related 7,autophagy_lysosome,medium,Autophagy protein 7; E1-like enzyme for Atg conjugation,no_surveyed_context
Il10,Interleukin 10,inflammation,high,Anti-inflammatory cytokine; suppresses microglial activation,single_study_support
Tgfb1,Transforming growth factor beta 1,inflammation,high,TGF-beta1; immunomodulatory cytokine maintaining CNS homeostasis,all_six_contexts
Il1b,Interleukin 1 beta,inflammation,medium,IL-1beta; key pro-inflammatory cytokine in neuroinflammation,multi_study_support
Tnf,Tumor necrosis factor,inflammation,medium,TNF-alpha; central pro-inflammatory mediator,multi_study_support
Nfkb1,Nuclear factor kappa B subunit 1,inflammation,medium,NF-kB p105/p50; master transcriptional regulator of inflammation,all_six_contexts
Il1rn,Interleukin 1 receptor antagonist,inflammation,high,IL-1 receptor antagonist; endogenous anti-inflammatory factor,multi_study_support
Il4ra,Interleukin 4 receptor alpha,inflammation,medium,IL-4 receptor alpha; drives M2/anti-inflammatory polarization,multi_study_support
Trem2,Triggering receptor expressed on myeloid cells 2,phagocytosis,critical,Triggering receptor on myeloid cells 2; phagocytosis and AD risk gene,all_six_contexts
Tyrobp,TYRO protein tyrosine kinase binding protein,phagocytosis,high,DAP12; essential signaling partner of TREM2,multi_study_support
Mertk,MER proto-oncogene tyrosine kinase,phagocytosis,high,MerTK receptor kinase; efferocytosis of apoptotic cells,all_six_contexts
Cd36,CD36 molecule,phagocytosis,medium,Scavenger receptor; lipid uptake and debris clearance,no_surveyed_context
Megf10,Multiple EGF-like domains 10,phagocytosis,medium,Multiple EGF-like domains 10; phagocytic receptor,multi_study_support
Axl,AXL receptor tyrosine kinase,phagocytosis,medium,AXL receptor kinase; TAM family; debris clearance,single_study_support
Abca1,ATP binding cassette subfamily A member 1,lipid_metabolism,high,ATP-binding cassette A1; cholesterol efflux transporter,all_six_contexts
Abcg1,ATP binding cassette subfamily G member 1,lipid_metabolism,medium,ATP-binding cassette G1; cholesterol/phospholipid efflux,multi_study_support
Pparg,Peroxisome proliferator activated receptor gamma,lipid_metabolism,high,PPARgamma; master regulator of lipid metabolism and anti-inflammatory programs,no_surveyed_context
Nr1h3,Nuclear receptor subfamily 1 group H member 3,lipid_metabolism,medium,LXR-alpha; nuclear receptor regulating cholesterol homeostasis,multi_study_support
Lpl,Lipoprotein lipase,lipid_metabolism,medium,Lipoprotein lipase; triglyceride hydrolysis,no_surveyed_context
Apoe,Apolipoprotein E,lipid_metabolism,high,Apolipoprotein E; lipid transport; major AD genetic risk factor,single_study_support
Lipa,Lipase A lysosomal acid type,lipid_metabolism,medium,Lysosomal acid lipase; cholesterol ester hydrolysis,all_six_contexts
Bdnf,Brain derived neurotrophic factor,neuroprotection,high,Brain-derived neurotrophic factor; neuronal survival and plasticity,no_surveyed_context
Igf1,Insulin like growth factor 1,neuroprotection,high,Insulin-like growth factor 1; neuroprotective signaling,single_study_support
Csf1,Colony stimulating factor 1,neuroprotection,medium,Colony stimulating factor 1; microglial survival and proliferation,all_six_contexts
Gdnf,Glial cell derived neurotrophic factor,neuroprotection,medium,Glial-derived neurotrophic factor; motor neuron survival,no_surveyed_context
Vegfa,Vascular endothelial growth factor A,neuroprotection,medium,VEGF-A; vascular endothelial growth factor; angiogenesis in repair,multi_study_support
P2ry12,Purinergic receptor P2Y12,microglial_identity,medium,Purinergic receptor P2Y12; homeostatic microglial marker,no_surveyed_context
